name,school,weight,year,seed,wrestler_id,participant_id
allan|cochrane,kansas,175,1930,0.0,4606.0,11ecfc1c-b8fa-4845-af80-d206d7f37567
al|steinke,michigan,175,1930,0.0,2757.0,33a3b7e6-724f-46f0-8238-b9156b6a44e3
earl|mccready,oklahoma state,450,1930,0.0,35093.0,8448fb66-c9d6-4a5f-ac2c-63c6c2209a11
lloyd|burdick,illinois,450,1930,0.0,71395.0,63f4a88b-5b45-4e4a-9eb9-05fa81b561bd
carl 'hugh'|errington,kansas state,450,1930,0.0,19000.0,bd3817f5-7053-470b-94b9-198363c223d7
russ|fairall,ohio state,450,1930,0.0,94226.0,74ca3026-5989-4c25-b0e1-f9d781e9841e
ralph 'cy'|dudley,rochester tech (ny),450,1930,0.0,89310.0,4ce62bfc-69eb-4835-9cf7-ae6c69959a9b
john|engel,lehigh (pa),118,1931,0.0,57256.0,400052d9-8583-4f43-ae05-02cbd90a141d
jesse|arends,northern iowa,118,1931,0.0,53635.0,6686601b-4b3e-48c3-9a51-5366bcddab3f
andrew|hesser,oklahoma state,118,1931,0.0,6087.0,8c184cfb-f34a-4a5d-bf4d-5044c3806e98
stanley|ball,michigan state,118,1931,0.0,100297.0,4f931b1b-2c1b-456b-9a4f-789c2aa4634f
samuel|daniels,tufts (ma),118,1931,0.0,96310.0,fc554076-fbbc-4f77-873a-08ab96d19043
bobby|pearce,oklahoma state,126,1931,0.0,13472.0,63f1f437-8d50-43d2-9514-9a38abbda157
lyle|morford,cornell (ia),126,1931,0.0,72770.0,264708a3-d31d-4993-b544-48a5ffb7d4fe
joe|fickel,kansas state,126,1931,0.0,55703.0,fecec0c3-4271-4aba-8c9d-922266618a85
dick|cole,iowa state,135,1931,0.0,32458.0,6799bd49-5bf3-48f9-9580-396d7f29d15c
john|devine,oklahoma state,135,1931,0.0,57197.0,1be69e21-fa0b-4bb9-aa37-fb057020242b
harry|byam,michigan state,135,1931,0.0,44420.0,27f58f3b-cb4a-4058-acaa-800c13141576
stuart|will sr.,virginia military,135,1931,0.0,101717.0,e8e2cf62-aa02-47e2-b3d3-7a70ee585655
finn|eriksen,northern iowa,135,1931,0.0,39293.0,73aacc9f-567d-44e7-87d1-6712a538d8b6
joseph|woodard,michigan,135,1931,0.0,59933.0,6ec7404e-8f95-498c-860b-c3f02c7fda48
bill|doyle,kansas state,145,1931,0.0,11653.0,a6713923-f218-4c7c-b67b-cf066dbe2e64
walter|thomas,iowa state,145,1931,0.0,110231.0,b507b392-ff90-4ea0-87e4-19154d2f94a3
bliss|sargeant jr.,lafayette (pa),145,1931,0.0,12631.0,5bf0a78f-9cfc-4afe-82dd-019c705ab4f6
walter|young,oklahoma state,145,1931,0.0,110242.0,024a2a82-87af-42fc-a61c-e33931997c67
robert|garrigan,northwestern (il),145,1931,0.0,92470.0,17a812c2-e5b6-4179-96dc-abbe04092104
william 'bud'|uanna,tufts (ma),145,1931,0.0,110816.0,734dfd73-714d-47a4-b64d-54dc9f277908
leroy|mcguirk,oklahoma state,155,1931,0.0,70282.0,58e8069e-e3bd-4e93-90ea-1a1aea1ccbbb
john|richardson,kansas state,155,1931,0.0,58014.0,277f664b-6509-4c09-ad38-c0389db099b6
orville|orr,northern iowa,155,1931,0.0,86203.0,a29c099b-f5d0-4cbe-88da-7152d470117a
dave|coe,springfield (ma),155,1931,0.0,29150.0,4f78c286-9dcd-4374-b9d8-8afdbf5c4fd8
elmer|carpenter,syracuse (ny),155,1931,0.0,36545.0,f572e89a-3859-4d22-bf7c-d9e15be733b9
james|fawcett,rutgers (nj),155,1931,0.0,49162.0,2953e8ff-0298-4878-9809-e0ea1f234a5c
max|silverstein,navy (md),155,1931,0.0,77998.0,845b3142-9d09-4e20-906d-1fe8ddb7cc9a
bob|miller,northwestern (il),155,1931,0.0,13129.0,65048b88-1315-4ee5-b678-70cb1e54f43e
jack|vanbebber,oklahoma state,165,1931,0.0,47233.0,2ef6a199-d149-4f93-b0b4-7b19a7bcc4ba
robert|hess,iowa state,165,1931,0.0,92513.0,52e570fc-e5a4-4f1e-971c-3a033812d1b2
meyer 'bill'|shanker,lehigh (pa),165,1931,0.0,78777.0,0c613f5a-1507-42d8-98d5-8fd9d96df073
ray 'rd'|nicholson,case-western reserve (oh),165,1931,0.0,89844.0,c9fd79fe-86cf-4b25-b3c3-b07ac25efbeb
conrad|caldwell,oklahoma state,175,1931,0.0,25183.0,eac60369-1c0c-4600-a52d-b192d4097df2
carl|dougovito,michigan,175,1931,0.0,19037.0,b96ee4d6-53e8-4145-aabd-190fbdac4c1b
wes|brown jr.,northwestern (il),175,1931,0.0,110501.0,9140a7e7-86c1-4203-a8d3-d4636ffec416
